,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
9,15/08/16,Chelsea,West Ham,2,1,H,0,0,D,1471233600.0,Antonio Conte
16,20/08/16,Watford,Chelsea,1,2,A,0,0,D,1471665600.0,Antonio Conte
20,27/08/16,Chelsea,Burnley,3,0,H,2,0,H,1472270400.0,Antonio Conte
38,11/09/16,Swansea,Chelsea,2,2,D,0,1,A,1473566400.0,Antonio Conte
40,16/09/16,Chelsea,Liverpool,1,2,A,0,2,A,1473998400.0,Antonio Conte
50,24/09/16,Arsenal,Chelsea,3,0,H,3,0,H,1474689600.0,Antonio Conte
61,01/10/16,Hull,Chelsea,0,2,A,0,0,D,1475294400.0,Antonio Conte
72,15/10/16,Chelsea,Leicester,3,0,H,2,0,H,1476504000.0,Antonio Conte
88,23/10/16,Chelsea,Man United,4,0,H,2,0,H,1477195200.0,Antonio Conte
98,30/10/16,Southampton,Chelsea,0,2,A,0,1,A,1477800000.0,Antonio Conte
102,05/11/16,Chelsea,Everton,5,0,H,3,0,H,1478318400.0,Antonio Conte
118,20/11/16,Middlesbrough,Chelsea,0,1,A,0,1,A,1479618000.0,Antonio Conte
121,26/11/16,Chelsea,Tottenham,2,1,H,1,1,D,1480136400.0,Antonio Conte
