,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
9,14/08/05,Wigan,Chelsea,0,1,A,0,0,D,1123992000.0,José Mourinho
19,21/08/05,Chelsea,Arsenal,1,0,H,0,0,D,1124596800.0,José Mourinho
26,24/08/05,Chelsea,West Brom,4,0,H,2,0,H,1124856000.0,José Mourinho
30,27/08/05,Tottenham,Chelsea,0,2,A,0,1,A,1125115200.0,José Mourinho
37,10/09/05,Chelsea,Sunderland,2,0,H,0,0,D,1126324800.0,José Mourinho
47,17/09/05,Charlton,Chelsea,0,2,A,0,0,D,1126929600.0,José Mourinho
58,24/09/05,Chelsea,Aston Villa,2,1,H,1,1,D,1127534400.0,José Mourinho
73,02/10/05,Liverpool,Chelsea,1,4,A,1,2,A,1128225600.0,José Mourinho
76,15/10/05,Chelsea,Bolton,5,1,H,0,1,A,1129348800.0,José Mourinho
93,23/10/05,Everton,Chelsea,1,1,D,1,0,H,1130040000.0,José Mourinho
98,29/10/05,Chelsea,Blackburn,4,2,H,2,2,D,1130558400.0,José Mourinho
114,06/11/05,Man United,Chelsea,1,0,H,1,0,H,1131249600.0,José Mourinho
117,19/11/05,Chelsea,Newcastle,3,0,H,0,0,D,1132376400.0,José Mourinho
128,26/11/05,Portsmouth,Chelsea,0,2,A,0,1,A,1132981200.0,José Mourinho
138,03/12/05,Chelsea,Middlesbrough,1,0,H,0,0,D,1133586000.0,José Mourinho
150,10/12/05,Chelsea,Wigan,1,0,H,0,0,D,1134190800.0,José Mourinho
165,18/12/05,Arsenal,Chelsea,0,2,A,0,1,A,1134882000.0,José Mourinho
169,26/12/05,Chelsea,Fulham,3,2,H,2,1,H,1135573200.0,José Mourinho
181,28/12/05,Man City,Chelsea,0,1,A,0,0,D,1135746000.0,José Mourinho
186,31/12/05,Chelsea,Birmingham,2,0,H,2,0,H,1136005200.0,José Mourinho
201,02/01/06,West Ham,Chelsea,1,3,A,0,1,A,1136178000.0,José Mourinho
212,15/01/06,Sunderland,Chelsea,1,2,A,1,1,D,1137301200.0,José Mourinho
221,22/01/06,Chelsea,Charlton,1,1,D,1,0,H,1137906000.0,José Mourinho
229,01/02/06,Aston Villa,Chelsea,1,1,D,0,1,A,1138770000.0,José Mourinho
242,05/02/06,Chelsea,Liverpool,2,0,H,1,0,H,1139115600.0,José Mourinho
249,11/02/06,Middlesbrough,Chelsea,3,0,H,2,0,H,1139634000.0,José Mourinho
262,25/02/06,Chelsea,Portsmouth,2,0,H,0,0,D,1140843600.0,José Mourinho
272,04/03/06,West Brom,Chelsea,1,2,A,0,0,D,1141448400.0,José Mourinho
280,11/03/06,Chelsea,Tottenham,2,1,H,1,1,D,1142053200.0,José Mourinho
296,19/03/06,Fulham,Chelsea,1,0,H,1,0,H,1142740800.0,José Mourinho
299,25/03/06,Chelsea,Man City,2,0,H,2,0,H,1143259200.0,José Mourinho
309,01/04/06,Birmingham,Chelsea,0,0,D,0,0,D,1143864000.0,José Mourinho
324,09/04/06,Chelsea,West Ham,4,1,H,2,1,H,1144555200.0,José Mourinho
331,15/04/06,Bolton,Chelsea,0,2,A,0,1,A,1145073600.0,José Mourinho
340,17/04/06,Chelsea,Everton,3,0,H,1,0,H,1145246400.0,José Mourinho
357,29/04/06,Chelsea,Man United,3,0,H,1,0,H,1146283200.0,José Mourinho
366,02/05/06,Blackburn,Chelsea,1,0,H,1,0,H,1146542400.0,José Mourinho
377,07/05/06,Newcastle,Chelsea,1,0,H,0,0,D,1146974400.0,José Mourinho
