,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
1,19/08/00,Chelsea,West Ham,4,2,H,1,0,H,966657600.0,Interim Managers
11,22/08/00,Bradford,Chelsea,2,0,H,1,0,H,966916800.0,Interim Managers
28,27/08/00,Aston Villa,Chelsea,1,1,D,1,1,D,967348800.0,Interim Managers
34,06/09/00,Chelsea,Arsenal,2,2,D,1,0,H,968212800.0,Interim Managers
46,09/09/00,Newcastle,Chelsea,0,0,D,0,0,D,968472000.0,Interim Managers
56,17/09/00,Chelsea,Leicester,0,2,A,0,1,A,969163200.0,Interim Managers
64,23/09/00,Man United,Chelsea,3,3,D,3,2,H,969681600.0,['Claudio Ranieri']
77,01/10/00,Chelsea,Liverpool,3,0,H,2,0,H,970372800.0,['Claudio Ranieri']
86,14/10/00,Sunderland,Chelsea,1,0,H,0,0,D,971496000.0,['Claudio Ranieri']
91,21/10/00,Chelsea,Coventry,6,1,H,2,0,H,972100800.0,['Claudio Ranieri']
101,28/10/00,Chelsea,Tottenham,3,0,H,2,0,H,972705600.0,['Claudio Ranieri']
115,04/11/00,Southampton,Chelsea,3,2,H,2,0,H,973310400.0,['Claudio Ranieri']
127,12/11/00,Chelsea,Leeds,1,1,D,0,0,D,974005200.0,['Claudio Ranieri']
129,18/11/00,Charlton,Chelsea,2,0,H,1,0,H,974523600.0,['Claudio Ranieri']
142,25/11/00,Everton,Chelsea,2,1,H,0,1,A,975128400.0,['Claudio Ranieri']
157,03/12/00,Chelsea,Man City,2,1,H,2,0,H,975819600.0,['Claudio Ranieri']
162,09/12/00,Chelsea,Derby,4,1,H,3,0,H,976338000.0,['Claudio Ranieri']
175,16/12/00,Middlesbrough,Chelsea,1,0,H,0,0,D,976942800.0,['Claudio Ranieri']
181,23/12/00,Chelsea,Bradford,3,0,H,1,0,H,977547600.0,['Claudio Ranieri']
193,26/12/00,Ipswich,Chelsea,2,2,D,1,2,A,977806800.0,['Claudio Ranieri']
206,01/01/01,Chelsea,Aston Villa,1,0,H,1,0,H,978325200.0,['Claudio Ranieri']
215,13/01/01,Arsenal,Chelsea,1,1,D,1,0,H,979362000.0,['Claudio Ranieri']
225,20/01/01,Chelsea,Ipswich,4,1,H,1,1,D,979966800.0,['Claudio Ranieri']
238,31/01/01,Chelsea,Newcastle,3,1,H,1,1,D,980917200.0,['Claudio Ranieri']
249,03/02/01,Leicester,Chelsea,2,1,H,1,0,H,981176400.0,['Claudio Ranieri']
257,10/02/01,Chelsea,Man United,1,1,D,1,0,H,981781200.0,['Claudio Ranieri']
275,03/03/01,Coventry,Chelsea,0,0,D,0,0,D,983595600.0,['Claudio Ranieri']
284,07/03/01,West Ham,Chelsea,0,2,A,0,2,A,983941200.0,['Claudio Ranieri']
288,17/03/01,Chelsea,Sunderland,2,4,A,2,1,H,984801600.0,['Claudio Ranieri']
298,31/03/01,Chelsea,Middlesbrough,2,1,H,1,0,H,986011200.0,['Claudio Ranieri']
308,07/04/01,Derby,Chelsea,0,4,A,0,0,D,986616000.0,['Claudio Ranieri']
321,14/04/01,Chelsea,Southampton,1,0,H,1,0,H,987220800.0,['Claudio Ranieri']
333,17/04/01,Tottenham,Chelsea,0,3,A,0,1,A,987480000.0,['Claudio Ranieri']
337,21/04/01,Chelsea,Charlton,0,1,A,0,1,A,987825600.0,['Claudio Ranieri']
347,28/04/01,Leeds,Chelsea,2,0,H,0,0,D,988430400.0,['Claudio Ranieri']
359,05/05/01,Chelsea,Everton,2,1,H,2,1,H,989035200.0,['Claudio Ranieri']
366,08/05/01,Liverpool,Chelsea,2,2,D,1,1,D,989294400.0,['Claudio Ranieri']
375,19/05/01,Man City,Chelsea,1,2,A,1,1,D,990244800.0,['Claudio Ranieri']
