,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
6,14/08/11,Stoke,Chelsea,0,0,D,0,0,D,1313294400.0,André Villas-Boas
11,20/08/11,Chelsea,West Brom,2,1,H,0,1,A,1313812800.0,André Villas-Boas
21,27/08/11,Chelsea,Norwich,3,1,H,1,0,H,1314417600.0,André Villas-Boas
34,10/09/11,Sunderland,Chelsea,1,2,A,0,1,A,1315627200.0,André Villas-Boas
46,18/09/11,Man United,Chelsea,3,1,H,3,0,H,1316318400.0,André Villas-Boas
50,24/09/11,Chelsea,Swansea,4,1,H,2,0,H,1316836800.0,André Villas-Boas
65,02/10/11,Bolton,Chelsea,1,5,A,0,4,A,1317528000.0,André Villas-Boas
69,15/10/11,Chelsea,Everton,3,1,H,2,0,H,1318651200.0,André Villas-Boas
88,23/10/11,QPR,Chelsea,1,0,H,1,0,H,1319342400.0,André Villas-Boas
89,29/10/11,Chelsea,Arsenal,3,5,A,2,1,H,1319860800.0,André Villas-Boas
101,05/11/11,Blackburn,Chelsea,0,1,A,0,0,D,1320465600.0,André Villas-Boas
117,20/11/11,Chelsea,Liverpool,1,2,A,0,1,A,1321765200.0,André Villas-Boas
121,26/11/11,Chelsea,Wolves,3,0,H,3,0,H,1322283600.0,André Villas-Boas
132,03/12/11,Newcastle,Chelsea,0,3,A,0,1,A,1322888400.0,André Villas-Boas
148,12/12/11,Chelsea,Man City,2,1,H,1,1,D,1323666000.0,André Villas-Boas
153,17/12/11,Wigan,Chelsea,1,1,D,0,0,D,1324098000.0,André Villas-Boas
168,22/12/11,Tottenham,Chelsea,1,1,D,1,1,D,1324530000.0,André Villas-Boas
170,26/12/11,Chelsea,Fulham,1,1,D,0,0,D,1324875600.0,André Villas-Boas
182,31/12/11,Chelsea,Aston Villa,1,3,A,1,1,D,1325307600.0,André Villas-Boas
193,02/01/12,Wolves,Chelsea,1,2,A,0,0,D,1325480400.0,André Villas-Boas
202,14/01/12,Chelsea,Sunderland,1,0,H,1,0,H,1326517200.0,André Villas-Boas
213,21/01/12,Norwich,Chelsea,0,0,D,0,0,D,1327122000.0,André Villas-Boas
222,31/01/12,Swansea,Chelsea,1,1,D,1,0,H,1327986000.0,André Villas-Boas
237,05/02/12,Chelsea,Man United,3,3,D,1,0,H,1328418000.0,André Villas-Boas
242,11/02/12,Everton,Chelsea,2,0,H,1,0,H,1328936400.0,André Villas-Boas
250,25/02/12,Chelsea,Bolton,3,0,H,0,0,D,1330146000.0,André Villas-Boas
264,03/03/12,West Brom,Chelsea,1,0,H,0,0,D,1330750800.0,André Villas-Boas
271,10/03/12,Chelsea,Stoke,1,0,H,0,0,D,1331355600.0,Interim Managers
286,21/03/12,Man City,Chelsea,2,1,H,0,0,D,1332302400.0,Interim Managers
291,24/03/12,Chelsea,Tottenham,0,0,D,0,0,D,1332561600.0,Interim Managers
299,31/03/12,Aston Villa,Chelsea,2,4,A,0,1,A,1333166400.0,Interim Managers
311,07/04/12,Chelsea,Wigan,2,1,H,0,0,D,1333771200.0,Interim Managers
321,09/04/12,Fulham,Chelsea,1,1,D,0,1,A,1333944000.0,Interim Managers
335,21/04/12,Arsenal,Chelsea,0,0,D,0,0,D,1334980800.0,Interim Managers
353,29/04/12,Chelsea,QPR,6,1,H,4,0,H,1335672000.0,Interim Managers
359,02/05/12,Chelsea,Newcastle,0,2,A,0,1,A,1335931200.0,Interim Managers
369,08/05/12,Liverpool,Chelsea,4,1,H,3,0,H,1336449600.0,Interim Managers
370,13/05/12,Chelsea,Blackburn,2,1,H,2,0,H,1336881600.0,Interim Managers
