,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
9,17/08/03,Liverpool,Chelsea,1,2,A,0,1,A,1061092800.0,Claudio Ranieri
11,23/08/03,Chelsea,Leicester,2,1,H,2,1,H,1061611200.0,Claudio Ranieri
30,30/08/03,Chelsea,Blackburn,2,2,D,1,1,D,1062216000.0,Claudio Ranieri
42,13/09/03,Chelsea,Tottenham,4,2,H,2,1,H,1063425600.0,Claudio Ranieri
55,20/09/03,Wolves,Chelsea,0,5,A,0,2,A,1064030400.0,Claudio Ranieri
61,27/09/03,Chelsea,Aston Villa,1,0,H,1,0,H,1064635200.0,Claudio Ranieri
77,05/10/03,Middlesbrough,Chelsea,1,2,A,0,1,A,1065326400.0,Claudio Ranieri
78,14/10/03,Birmingham,Chelsea,0,0,D,0,0,D,1066104000.0,Claudio Ranieri
79,18/10/03,Arsenal,Chelsea,2,1,H,1,1,D,1066449600.0,Claudio Ranieri
92,25/10/03,Chelsea,Man City,1,0,H,1,0,H,1067054400.0,Claudio Ranieri
100,01/11/03,Everton,Chelsea,0,1,A,0,0,D,1067659200.0,Claudio Ranieri
116,09/11/03,Chelsea,Newcastle,5,0,H,3,0,H,1068354000.0,Claudio Ranieri
127,22/11/03,Southampton,Chelsea,0,1,A,0,0,D,1069477200.0,Claudio Ranieri
137,30/11/03,Chelsea,Man United,1,0,H,1,0,H,1070168400.0,Claudio Ranieri
142,06/12/03,Leeds,Chelsea,1,1,D,1,0,H,1070686800.0,Claudio Ranieri
150,13/12/03,Chelsea,Bolton,1,2,A,1,1,D,1071291600.0,Claudio Ranieri
164,20/12/03,Fulham,Chelsea,0,1,A,0,0,D,1071896400.0,Claudio Ranieri
171,26/12/03,Charlton,Chelsea,4,2,H,2,1,H,1072414800.0,Claudio Ranieri
180,28/12/03,Chelsea,Portsmouth,3,0,H,0,0,D,1072587600.0,Claudio Ranieri
190,07/01/04,Chelsea,Liverpool,0,1,A,0,1,A,1073451600.0,Claudio Ranieri
206,11/01/04,Leicester,Chelsea,0,4,A,0,2,A,1073797200.0,Claudio Ranieri
216,18/01/04,Chelsea,Birmingham,0,0,D,0,0,D,1074402000.0,Claudio Ranieri
228,01/02/04,Blackburn,Chelsea,2,3,A,1,2,A,1075611600.0,Claudio Ranieri
237,08/02/04,Chelsea,Charlton,1,0,H,1,0,H,1076216400.0,Claudio Ranieri
248,11/02/04,Portsmouth,Chelsea,0,2,A,0,1,A,1076475600.0,Claudio Ranieri
251,21/02/04,Chelsea,Arsenal,1,2,A,1,2,A,1077339600.0,Claudio Ranieri
263,28/02/04,Man City,Chelsea,0,1,A,0,0,D,1077944400.0,Claudio Ranieri
271,13/03/04,Bolton,Chelsea,0,2,A,0,0,D,1079154000.0,Claudio Ranieri
282,20/03/04,Chelsea,Fulham,2,1,H,2,1,H,1079755200.0,Claudio Ranieri
293,27/03/04,Chelsea,Wolves,5,2,H,1,1,D,1080360000.0,Claudio Ranieri
314,25/04/04,Newcastle,Chelsea,2,1,H,1,1,D,1082865600.0,Claudio Ranieri
319,01/05/04,Chelsea,Southampton,4,0,H,0,0,D,1083384000.0,Claudio Ranieri
331,08/05/04,Man United,Chelsea,1,1,D,0,1,A,1083988800.0,Claudio Ranieri
