,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
8,17/08/08,Chelsea,Portsmouth,4,0,H,3,0,H,1218945600.0,Luiz Felipe Scolari
18,24/08/08,Wigan,Chelsea,0,1,A,0,1,A,1219550400.0,Luiz Felipe Scolari
27,31/08/08,Chelsea,Tottenham,1,1,D,1,1,D,1220155200.0,Luiz Felipe Scolari
32,13/09/08,Man City,Chelsea,1,3,A,1,1,D,1221278400.0,Luiz Felipe Scolari
44,21/09/08,Chelsea,Man United,1,1,D,0,1,A,1221969600.0,Luiz Felipe Scolari
56,27/09/08,Stoke,Chelsea,0,2,A,0,1,A,1222488000.0,Luiz Felipe Scolari
63,05/10/08,Chelsea,Aston Villa,2,0,H,2,0,H,1223179200.0,Luiz Felipe Scolari
75,18/10/08,Middlesbrough,Chelsea,0,5,A,0,1,A,1224302400.0,Luiz Felipe Scolari
83,26/10/08,Chelsea,Liverpool,0,1,A,0,1,A,1224993600.0,Luiz Felipe Scolari
94,29/10/08,Hull,Chelsea,0,3,A,0,1,A,1225252800.0,Luiz Felipe Scolari
99,01/11/08,Chelsea,Sunderland,5,0,H,3,0,H,1225512000.0,Luiz Felipe Scolari
116,09/11/08,Blackburn,Chelsea,0,2,A,0,1,A,1226206800.0,Luiz Felipe Scolari
125,15/11/08,West Brom,Chelsea,0,3,A,0,3,A,1226725200.0,Luiz Felipe Scolari
130,22/11/08,Chelsea,Newcastle,0,0,D,0,0,D,1227330000.0,Luiz Felipe Scolari
144,30/11/08,Chelsea,Arsenal,1,2,A,1,0,H,1228021200.0,Luiz Felipe Scolari
151,06/12/08,Bolton,Chelsea,0,2,A,0,2,A,1228539600.0,Luiz Felipe Scolari
167,14/12/08,Chelsea,West Ham,1,1,D,0,1,A,1229230800.0,Luiz Felipe Scolari
177,22/12/08,Everton,Chelsea,0,0,D,0,0,D,1229922000.0,Luiz Felipe Scolari
179,26/12/08,Chelsea,West Brom,2,0,H,2,0,H,1230267600.0,Luiz Felipe Scolari
192,28/12/08,Fulham,Chelsea,2,2,D,1,0,H,1230440400.0,Luiz Felipe Scolari
204,11/01/09,Man United,Chelsea,3,0,H,1,0,H,1231650000.0,Luiz Felipe Scolari
209,17/01/09,Chelsea,Stoke,2,1,H,0,0,D,1232168400.0,Luiz Felipe Scolari
222,28/01/09,Chelsea,Middlesbrough,2,0,H,0,0,D,1233118800.0,Luiz Felipe Scolari
235,01/02/09,Liverpool,Chelsea,2,0,H,0,0,D,1233464400.0,Luiz Felipe Scolari
238,07/02/09,Chelsea,Hull,0,0,D,0,0,D,1233982800.0,Luiz Felipe Scolari
250,21/02/09,Aston Villa,Chelsea,0,1,A,0,1,A,1235192400.0,Interim Managers
260,28/02/09,Chelsea,Wigan,2,1,H,1,0,H,1235797200.0,Interim Managers
268,03/03/09,Portsmouth,Chelsea,0,1,A,0,0,D,1236056400.0,Interim Managers
287,15/03/09,Chelsea,Man City,1,0,H,1,0,H,1237089600.0,Interim Managers
294,21/03/09,Tottenham,Chelsea,1,0,H,0,0,D,1237608000.0,Interim Managers
304,04/04/09,Newcastle,Chelsea,0,2,A,0,0,D,1238817600.0,Interim Managers
309,11/04/09,Chelsea,Bolton,4,3,H,1,0,H,1239422400.0,Interim Managers
327,22/04/09,Chelsea,Everton,0,0,D,0,0,D,1240372800.0,Interim Managers
335,25/04/09,West Ham,Chelsea,0,1,A,0,0,D,1240632000.0,Interim Managers
339,02/05/09,Chelsea,Fulham,3,1,H,2,1,H,1241236800.0,Interim Managers
356,10/05/09,Arsenal,Chelsea,1,4,A,0,2,A,1241928000.0,Interim Managers
367,17/05/09,Chelsea,Blackburn,2,0,H,1,0,H,1242532800.0,Interim Managers
377,24/05/09,Sunderland,Chelsea,2,3,A,0,0,D,1243137600.0,Interim Managers
