,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
1,08/08/15,Chelsea,Swansea,2,2,D,2,1,H,1439006400.0,Interim Managers
18,16/08/15,Man City,Chelsea,3,0,H,1,0,H,1439697600.0,Interim Managers
28,23/08/15,West Brom,Chelsea,2,3,A,1,3,A,1440302400.0,Interim Managers
32,29/08/15,Chelsea,Crystal Palace,1,2,A,0,0,D,1440820800.0,Interim Managers
42,12/09/15,Everton,Chelsea,3,1,H,2,1,H,1442030400.0,Interim Managers
52,19/09/15,Chelsea,Arsenal,2,0,H,0,0,D,1442635200.0,Interim Managers
63,26/09/15,Newcastle,Chelsea,2,2,D,1,0,H,1443240000.0,Interim Managers
72,03/10/15,Chelsea,Southampton,1,3,A,1,1,D,1443844800.0,Interim Managers
80,17/10/15,Chelsea,Aston Villa,2,0,H,1,0,H,1445054400.0,Interim Managers
95,24/10/15,West Ham,Chelsea,2,1,H,1,0,H,1445659200.0,Interim Managers
100,31/10/15,Chelsea,Liverpool,1,3,A,1,1,D,1446264000.0,Interim Managers
114,07/11/15,Stoke,Chelsea,1,0,H,0,0,D,1446872400.0,Interim Managers
120,21/11/15,Chelsea,Norwich,1,0,H,0,0,D,1448082000.0,Interim Managers
138,29/11/15,Tottenham,Chelsea,0,0,D,0,0,D,1448773200.0,Interim Managers
141,05/12/15,Chelsea,Bournemouth,0,1,A,0,0,D,1449291600.0,Interim Managers
159,14/12/15,Leicester,Chelsea,2,1,H,1,0,H,1450069200.0,Interim Managers
160,19/12/15,Chelsea,Sunderland,3,1,H,2,0,H,1450501200.0,['Guus Hiddink']
172,26/12/15,Chelsea,Watford,2,2,D,1,1,D,1451106000.0,['Guus Hiddink']
183,28/12/15,Man United,Chelsea,0,0,D,0,0,D,1451278800.0,['Guus Hiddink']
198,03/01/16,Crystal Palace,Chelsea,0,3,A,0,1,A,1451797200.0,['Guus Hiddink']
203,13/01/16,Chelsea,West Brom,2,2,D,1,1,D,1452661200.0,['Guus Hiddink']
212,16/01/16,Chelsea,Everton,3,3,D,0,0,D,1452920400.0,['Guus Hiddink']
228,24/01/16,Arsenal,Chelsea,0,1,A,0,1,A,1453611600.0,['Guus Hiddink']
239,03/02/16,Watford,Chelsea,0,0,D,0,0,D,1454475600.0,['Guus Hiddink']
249,07/02/16,Chelsea,Man United,1,1,D,0,0,D,1454821200.0,['Guus Hiddink']
251,13/02/16,Chelsea,Newcastle,5,1,H,3,0,H,1455339600.0,['Guus Hiddink']
261,27/02/16,Southampton,Chelsea,1,2,A,1,0,H,1456549200.0,['Guus Hiddink']
271,01/03/16,Norwich,Chelsea,1,2,A,0,2,A,1456808400.0,['Guus Hiddink']
278,05/03/16,Chelsea,Stoke,1,1,D,1,0,H,1457154000.0,['Guus Hiddink']
293,19/03/16,Chelsea,West Ham,2,2,D,1,1,D,1458360000.0,['Guus Hiddink']
304,02/04/16,Aston Villa,Chelsea,0,4,A,0,2,A,1459569600.0,['Guus Hiddink']
317,09/04/16,Swansea,Chelsea,1,0,H,1,0,H,1460174400.0,['Guus Hiddink']
324,16/04/16,Chelsea,Man City,0,3,A,0,1,A,1460779200.0,['Guus Hiddink']
340,23/04/16,Bournemouth,Chelsea,1,4,A,1,2,A,1461384000.0,['Guus Hiddink']
355,02/05/16,Chelsea,Tottenham,2,2,D,0,2,A,1462161600.0,['Guus Hiddink']
361,07/05/16,Sunderland,Chelsea,3,2,H,1,2,A,1462593600.0,['Guus Hiddink']
367,11/05/16,Liverpool,Chelsea,1,1,D,0,1,A,1462939200.0,['Guus Hiddink']
371,15/05/16,Chelsea,Leicester,1,1,D,0,0,D,1463284800.0,Interim Managers
