,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
8,19/08/01,Chelsea,Newcastle,1,1,D,1,0,H,998193600.0,Claudio Ranieri
21,25/08/01,Southampton,Chelsea,0,2,A,0,1,A,998712000.0,Claudio Ranieri
26,08/09/01,Chelsea,Arsenal,1,1,D,1,1,D,999921600.0,Claudio Ranieri
45,16/09/01,Tottenham,Chelsea,2,3,A,0,1,A,1000612800.0,Claudio Ranieri
55,23/09/01,Chelsea,Middlesbrough,2,2,D,2,0,H,1001217600.0,Claudio Ranieri
67,30/09/01,Fulham,Chelsea,1,1,D,0,1,A,1001822400.0,Claudio Ranieri
72,13/10/01,Chelsea,Leicester,2,0,H,2,0,H,1002945600.0,Claudio Ranieri
87,21/10/01,Leeds,Chelsea,0,0,D,0,0,D,1003636800.0,Claudio Ranieri
92,24/10/01,West Ham,Chelsea,2,1,H,2,1,H,1003896000.0,Claudio Ranieri
100,28/10/01,Derby,Chelsea,1,1,D,1,0,H,1004241600.0,Claudio Ranieri
110,04/11/01,Chelsea,Ipswich,2,1,H,1,0,H,1004846400.0,Claudio Ranieri
119,18/11/01,Everton,Chelsea,0,0,D,0,0,D,1006059600.0,Claudio Ranieri
124,24/11/01,Chelsea,Blackburn,0,0,D,0,0,D,1006578000.0,Claudio Ranieri
138,01/12/01,Man United,Chelsea,0,3,A,0,1,A,1007182800.0,Claudio Ranieri
143,05/12/01,Chelsea,Charlton,0,1,A,0,0,D,1007528400.0,Claudio Ranieri
154,09/12/01,Sunderland,Chelsea,0,0,D,0,0,D,1007874000.0,Claudio Ranieri
164,16/12/01,Chelsea,Liverpool,4,0,H,2,0,H,1008478800.0,Claudio Ranieri
176,23/12/01,Chelsea,Bolton,5,1,H,2,1,H,1009083600.0,Claudio Ranieri
178,26/12/01,Arsenal,Chelsea,2,1,H,0,1,A,1009342800.0,Claudio Ranieri
194,29/12/01,Newcastle,Chelsea,1,2,A,1,2,A,1009602000.0,Claudio Ranieri
199,01/01/02,Chelsea,Southampton,2,4,A,2,1,H,1009861200.0,Claudio Ranieri
210,12/01/02,Bolton,Chelsea,2,2,D,0,0,D,1010811600.0,Claudio Ranieri
225,20/01/02,Chelsea,West Ham,5,1,H,1,0,H,1011502800.0,Claudio Ranieri
235,30/01/02,Chelsea,Leeds,2,0,H,2,0,H,1012366800.0,Claudio Ranieri
244,02/02/02,Leicester,Chelsea,2,3,A,1,0,H,1012626000.0,Claudio Ranieri
250,09/02/02,Aston Villa,Chelsea,1,1,D,1,0,H,1013230800.0,Claudio Ranieri
271,02/03/02,Charlton,Chelsea,2,1,H,0,0,D,1015045200.0,Claudio Ranieri
282,06/03/02,Chelsea,Fulham,3,2,H,2,1,H,1015390800.0,Claudio Ranieri
290,13/03/02,Chelsea,Tottenham,4,0,H,1,0,H,1015992000.0,Claudio Ranieri
292,16/03/02,Chelsea,Sunderland,4,0,H,1,0,H,1016251200.0,Claudio Ranieri
308,24/03/02,Liverpool,Chelsea,1,0,H,0,0,D,1016942400.0,Claudio Ranieri
312,30/03/02,Chelsea,Derby,2,1,H,0,0,D,1017460800.0,Claudio Ranieri
324,01/04/02,Ipswich,Chelsea,0,0,D,0,0,D,1017633600.0,Claudio Ranieri
330,06/04/02,Chelsea,Everton,3,0,H,2,0,H,1018065600.0,Claudio Ranieri
337,10/04/02,Blackburn,Chelsea,0,0,D,0,0,D,1018411200.0,Claudio Ranieri
345,20/04/02,Chelsea,Man United,0,3,A,0,2,A,1019275200.0,Claudio Ranieri
363,27/04/02,Middlesbrough,Chelsea,0,2,A,0,2,A,1019880000.0,Claudio Ranieri
372,11/05/02,Chelsea,Aston Villa,1,3,A,0,1,A,1021089600.0,Claudio Ranieri
