,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
7,18/08/13,Chelsea,Hull,2,0,H,2,0,H,1376798400.0,José Mourinho
10,21/08/13,Chelsea,Aston Villa,2,1,H,1,1,D,1377057600.0,José Mourinho
20,26/08/13,Man United,Chelsea,0,0,D,0,0,D,1377489600.0,José Mourinho
31,14/09/13,Everton,Chelsea,1,0,H,1,0,H,1379131200.0,José Mourinho
40,21/09/13,Chelsea,Fulham,2,0,H,0,0,D,1379736000.0,José Mourinho
56,28/09/13,Tottenham,Chelsea,1,1,D,1,0,H,1380340800.0,José Mourinho
66,06/10/13,Norwich,Chelsea,1,3,A,0,1,A,1381032000.0,José Mourinho
71,19/10/13,Chelsea,Cardiff,4,1,H,1,1,D,1382155200.0,José Mourinho
86,27/10/13,Chelsea,Man City,2,1,H,1,0,H,1382846400.0,José Mourinho
94,02/11/13,Newcastle,Chelsea,2,0,H,0,0,D,1383364800.0,José Mourinho
101,09/11/13,Chelsea,West Brom,2,2,D,1,0,H,1383973200.0,José Mourinho
116,23/11/13,West Ham,Chelsea,0,3,A,0,2,A,1385182800.0,José Mourinho
126,01/12/13,Chelsea,Southampton,3,1,H,0,1,A,1385874000.0,José Mourinho
137,04/12/13,Sunderland,Chelsea,3,4,A,1,2,A,1386133200.0,José Mourinho
144,07/12/13,Stoke,Chelsea,3,2,H,1,1,D,1386392400.0,José Mourinho
151,14/12/13,Chelsea,Crystal Palace,2,1,H,2,1,H,1386997200.0,José Mourinho
169,23/12/13,Arsenal,Chelsea,0,0,D,0,0,D,1387774800.0,José Mourinho
172,26/12/13,Chelsea,Swansea,1,0,H,1,0,H,1388034000.0,José Mourinho
186,29/12/13,Chelsea,Liverpool,2,1,H,2,1,H,1388293200.0,José Mourinho
195,01/01/14,Southampton,Chelsea,0,3,A,0,0,D,1388552400.0,José Mourinho
203,11/01/14,Hull,Chelsea,0,2,A,0,0,D,1389416400.0,José Mourinho
217,19/01/14,Chelsea,Man United,3,1,H,2,0,H,1390107600.0,José Mourinho
227,29/01/14,Chelsea,West Ham,0,0,D,0,0,D,1390971600.0,José Mourinho
239,03/02/14,Man City,Chelsea,0,1,A,0,1,A,1391403600.0,José Mourinho
241,08/02/14,Chelsea,Newcastle,3,0,H,2,0,H,1391835600.0,José Mourinho
252,11/02/14,West Brom,Chelsea,1,1,D,0,1,A,1392094800.0,José Mourinho
260,22/02/14,Chelsea,Everton,1,0,H,0,0,D,1393045200.0,José Mourinho
269,01/03/14,Fulham,Chelsea,1,3,A,0,0,D,1393650000.0,José Mourinho
277,08/03/14,Chelsea,Tottenham,4,0,H,0,0,D,1394254800.0,José Mourinho
281,15/03/14,Aston Villa,Chelsea,1,0,H,0,0,D,1394856000.0,José Mourinho
292,22/03/14,Chelsea,Arsenal,6,0,H,4,0,H,1395460800.0,José Mourinho
307,29/03/14,Crystal Palace,Chelsea,1,0,H,0,0,D,1396065600.0,José Mourinho
318,05/04/14,Chelsea,Stoke,3,0,H,1,0,H,1396670400.0,José Mourinho
333,13/04/14,Swansea,Chelsea,0,1,A,0,0,D,1397361600.0,José Mourinho
339,19/04/14,Chelsea,Sunderland,1,2,A,1,1,D,1397880000.0,José Mourinho
354,27/04/14,Liverpool,Chelsea,0,2,A,0,1,A,1398571200.0,José Mourinho
365,04/05/14,Chelsea,Norwich,0,0,D,0,0,D,1399176000.0,José Mourinho
370,11/05/14,Cardiff,Chelsea,1,2,A,1,0,H,1399780800.0,José Mourinho
