,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
8,20/08/06,Chelsea,Man City,3,0,H,2,0,H,1156046400.0,José Mourinho
17,23/08/06,Middlesbrough,Chelsea,2,1,H,0,1,A,1156305600.0,José Mourinho
26,27/08/06,Blackburn,Chelsea,0,2,A,0,0,D,1156651200.0,José Mourinho
30,09/09/06,Chelsea,Charlton,2,1,H,1,0,H,1157774400.0,José Mourinho
44,17/09/06,Chelsea,Liverpool,1,0,H,1,0,H,1158465600.0,José Mourinho
51,23/09/06,Fulham,Chelsea,0,2,A,0,0,D,1158984000.0,José Mourinho
61,30/09/06,Chelsea,Aston Villa,1,1,D,1,1,D,1159588800.0,José Mourinho
75,14/10/06,Reading,Chelsea,0,1,A,0,1,A,1160798400.0,José Mourinho
81,21/10/06,Chelsea,Portsmouth,2,1,H,0,0,D,1161403200.0,José Mourinho
95,28/10/06,Sheffield United,Chelsea,0,2,A,0,1,A,1162008000.0,José Mourinho
107,05/11/06,Tottenham,Chelsea,2,1,H,1,1,D,1162699200.0,José Mourinho
110,11/11/06,Chelsea,Watford,4,0,H,2,0,H,1163221200.0,José Mourinho
120,18/11/06,Chelsea,West Ham,1,0,H,1,0,H,1163826000.0,José Mourinho
135,26/11/06,Man United,Chelsea,1,1,D,1,0,H,1164517200.0,José Mourinho
140,29/11/06,Bolton,Chelsea,0,1,A,0,1,A,1164776400.0,José Mourinho
165,10/12/06,Chelsea,Arsenal,1,1,D,0,0,D,1165726800.0,José Mourinho
167,13/12/06,Chelsea,Newcastle,1,0,H,0,0,D,1165986000.0,José Mourinho
175,17/12/06,Everton,Chelsea,2,3,A,1,0,H,1166331600.0,José Mourinho
188,23/12/06,Wigan,Chelsea,2,3,A,1,2,A,1166850000.0,José Mourinho
191,26/12/06,Chelsea,Reading,2,2,D,1,0,H,1167109200.0,José Mourinho
202,30/12/06,Chelsea,Fulham,2,2,D,1,1,D,1167454800.0,José Mourinho
217,02/01/07,Aston Villa,Chelsea,0,0,D,0,0,D,1167714000.0,José Mourinho
221,13/01/07,Chelsea,Wigan,4,0,H,1,0,H,1168664400.0,José Mourinho
230,20/01/07,Liverpool,Chelsea,2,0,H,2,0,H,1169269200.0,José Mourinho
244,31/01/07,Chelsea,Blackburn,3,0,H,1,0,H,1170219600.0,José Mourinho
249,03/02/07,Charlton,Chelsea,0,1,A,0,1,A,1170478800.0,José Mourinho
257,10/02/07,Chelsea,Middlesbrough,3,0,H,1,0,H,1171083600.0,José Mourinho
282,03/03/07,Portsmouth,Chelsea,0,2,A,0,1,A,1172898000.0,José Mourinho
288,14/03/07,Man City,Chelsea,0,1,A,0,1,A,1173844800.0,José Mourinho
290,17/03/07,Chelsea,Sheffield United,3,0,H,2,0,H,1174104000.0,José Mourinho
305,31/03/07,Watford,Chelsea,0,1,A,0,0,D,1175313600.0,José Mourinho
313,07/04/07,Chelsea,Tottenham,1,0,H,0,0,D,1175918400.0,José Mourinho
337,18/04/07,West Ham,Chelsea,1,4,A,1,2,A,1176868800.0,José Mourinho
347,22/04/07,Newcastle,Chelsea,0,0,D,0,0,D,1177214400.0,José Mourinho
349,28/04/07,Chelsea,Bolton,2,2,D,2,1,H,1177732800.0,José Mourinho
366,06/05/07,Arsenal,Chelsea,1,1,D,1,0,H,1178424000.0,José Mourinho
368,09/05/07,Chelsea,Man United,0,0,D,0,0,D,1178683200.0,José Mourinho
372,13/05/07,Chelsea,Everton,1,1,D,0,0,D,1179028800.0,José Mourinho
