,Team 2,Home Form,Away Form,Home Wins,Home Losses,Home draws,Away Wins,Away Losses,Away draws,Home Prediction,Away Prediction
1,Man City,W L W W W L L L W D L,L W L L D W L W W L ,5.0,5.0,1.0,4.0,5.0,1.0,40.93243371667458,38.023342807583674
2,Chelsea,D W W L W W L D D D ,D W D W W D L W W D W,4.0,2.0,4.0,6.0,1.0,4.0,50.023342807583674,57.29607008031095
3,Arsenal,L W D W W W W W,W D W L W L D D,6.0,1.0,1.0,3.0,2.0,3.0,60.023342807583674,47.523342807583674
4,Tottenham,W W W W W W L L W W ,L D D L D L D D D W ,8.0,2.0,0.0,1.0,3.0,6.0,58.023342807583674,40.023342807583674
5,Everton,W W W W W D W L W W ,L L D W D L W W W L ,8.0,1.0,1.0,4.0,4.0,2.0,62.023342807583674,42.023342807583674
6,West Ham,L W W W W  W W W D D,W W L L L  D L D W ,7.0,1.0,2.0,3.0,4.0,2.0,60.023342807583674,38.91223169647257
7,Liverpool,W W L W W W W L W W ,L L W W W D L W L L D,8.0,2.0,0.0,4.0,5.0,2.0,58.023342807583674,39.11425189849277
