,index,Season Year,Home Wins,Away Wins,Home Losses,Away Losses,Home Goals Conceeded,Away Goals Conceeded,Home Goals scored,Away Goals Scored,Total Points,Percentage Change in Points
0,1,2000-2001,15.0,9.0,2.0,4.0,12.0,19.0,49.0,30.0,80.0,-23.076923076923077
1,2,2001-2002,11.0,13.0,6.0,3.0,17.0,28.0,40.0,47.0,77.0,3.75
2,3,2002-2003,16.0,9.0,1.0,4.0,12.0,22.0,42.0,32.0,83.0,-7.792207792207792
3,4,2003-2004,11.0,9.0,3.0,5.0,15.0,18.0,36.0,23.0,66.0,20.481927710843372
4,5,2004-2005,11.0,8.0,0.0,4.0,7.0,13.0,27.0,21.0,67.0,-1.5151515151515151
5,6,2005-2006,13.0,12.0,1.0,4.0,8.0,26.0,37.0,35.0,83.0,-23.88059701492537
6,7,2006-2007,15.0,13.0,2.0,3.0,12.0,15.0,46.0,37.0,89.0,-7.228915662650602
7,8,2007-2008,17.0,10.0,1.0,4.0,7.0,15.0,47.0,33.0,87.0,2.247191011235955
