,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,DateEpoch,Manager
9,18/08/14,Burnley,Chelsea,1.0,3.0,A,1.0,3.0,A,1408334400.0,José Mourinho
11,23/08/14,Chelsea,Leicester,2.0,0.0,H,0.0,0.0,D,1408766400.0,José Mourinho
21,30/08/14,Everton,Chelsea,3.0,6.0,A,1.0,2.0,A,1409371200.0,José Mourinho
31,13/09/14,Chelsea,Swansea,4.0,2.0,H,1.0,1.0,D,1410580800.0,José Mourinho
48,21/09/14,Man City,Chelsea,1.0,1.0,D,0.0,0.0,D,1411272000.0,José Mourinho
51,27/09/14,Chelsea,Aston Villa,3.0,0.0,H,1.0,0.0,H,1411790400.0,José Mourinho
66,05/10/14,Chelsea,Arsenal,2.0,0.0,H,1.0,0.0,H,1412481600.0,José Mourinho
72,18/10/14,Crystal Palace,Chelsea,1.0,2.0,A,0.0,1.0,A,1413604800.0,José Mourinho
87,26/10/14,Man United,Chelsea,1.0,1.0,D,0.0,0.0,D,1414296000.0,José Mourinho
91,01/11/14,Chelsea,QPR,2.0,1.0,H,1.0,0.0,H,1414814400.0,José Mourinho
101,08/11/14,Liverpool,Chelsea,1.0,2.0,A,1.0,1.0,D,1415422800.0,José Mourinho
111,22/11/14,Chelsea,West Brom,2.0,0.0,H,2.0,0.0,H,1416632400.0,José Mourinho
124,29/11/14,Sunderland,Chelsea,0.0,0.0,D,0.0,0.0,D,1417237200.0,José Mourinho
137,03/12/14,Chelsea,Tottenham,3.0,0.0,H,2.0,0.0,H,1417582800.0,José Mourinho
143,06/12/14,Newcastle,Chelsea,2.0,1.0,H,0.0,0.0,D,1417842000.0,José Mourinho
152,13/12/14,Chelsea,Hull,2.0,0.0,H,1.0,0.0,H,1418446800.0,José Mourinho
169,22/12/14,Stoke,Chelsea,0.0,2.0,A,0.0,1.0,A,1419224400.0,José Mourinho
172,26/12/14,Chelsea,West Ham,2.0,0.0,H,1.0,0.0,H,1419570000.0,José Mourinho
185,28/12/14,Southampton,Chelsea,1.0,1.0,D,1.0,1.0,D,1419742800.0,José Mourinho
198,01/01/15,Tottenham,Chelsea,5.0,3.0,H,3.0,1.0,H,1420088400.0,José Mourinho
201,10/01/15,Chelsea,Newcastle,2.0,0.0,H,1.0,0.0,H,1420866000.0,José Mourinho
215,17/01/15,Swansea,Chelsea,0.0,5.0,A,0.0,4.0,A,1421470800.0,José Mourinho
220,31/01/15,Chelsea,Man City,1.0,1.0,D,1.0,1.0,D,1422680400.0,José Mourinho
230,07/02/15,Aston Villa,Chelsea,1.0,2.0,A,0.0,1.0,A,1423285200.0,José Mourinho
244,11/02/15,Chelsea,Everton,1.0,0.0,H,0.0,0.0,D,1423630800.0,José Mourinho
251,21/02/15,Chelsea,Burnley,1.0,1.0,D,1.0,0.0,H,1424494800.0,José Mourinho
277,04/03/15,West Ham,Chelsea,0.0,1.0,A,0.0,1.0,A,1425445200.0,José Mourinho
285,15/03/15,Chelsea,Southampton,1.0,1.0,D,1.0,1.0,D,1426392000.0,José Mourinho
296,22/03/15,Hull,Chelsea,2.0,3.0,A,2.0,2.0,D,1426996800.0,José Mourinho
300,04/04/15,Chelsea,Stoke,2.0,1.0,H,1.0,1.0,D,1428120000.0,José Mourinho
318,12/04/15,QPR,Chelsea,0.0,1.0,A,0.0,0.0,D,1428811200.0,José Mourinho
320,18/04/15,Chelsea,Man United,1.0,0.0,H,1.0,0.0,H,1429329600.0,José Mourinho
335,26/04/15,Arsenal,Chelsea,0.0,0.0,D,0.0,0.0,D,1430020800.0,José Mourinho
338,29/04/15,Leicester,Chelsea,1.0,3.0,A,1.0,0.0,H,1430280000.0,José Mourinho
346,03/05/15,Chelsea,Crystal Palace,1.0,0.0,H,1.0,0.0,H,1430625600.0,José Mourinho
356,10/05/15,Chelsea,Liverpool,1.0,1.0,D,1.0,1.0,D,1431230400.0,José Mourinho
368,18/05/15,West Brom,Chelsea,3.0,0.0,H,1.0,0.0,H,1431921600.0,José Mourinho
372,24/05/15,Chelsea,Sunderland,3.0,1.0,H,1.0,1.0,D,1432440000.0,José Mourinho
